groupName,level,members
ANCIENT PHILOSOPHERS,0,"SOCRATES, PLATO, ARISTOTLE, CONFUCIUS"
GEOLOGICAL PERIODS,1,"CRETACEOUS, JURASSIC, TRIASSIC, PERMIAN"
RARE EARTH ELEMENTS,2,"EUROPIUM, TERBIUM, PROMETHIUM, THULIUM"
ASTRONOMICAL TERMS,3,"NEBULA, QUASAR, PULSAR, GALAXY"
ANCIENT ROMAN ARCHITECTURE,0,"COLOSSEUM, PANTHEON, AQUEDUCT, FORUM"
SHAKESPEARE PLAYS,1,"HAMLET, OTHELLO, MACBETH, TEMPLEST"
CRYPTOGRAPHY TERMS,2,"ENIGMA, CYBORG, HASH, CIPHER"
POISONOUS PLANTS,3,"HEMLOCK, BELLADONNA, OLEANDER, CASTOR"
ASTRONOMICAL OBJECTS,0,"GALAXY, PULSAR, NEBULA, QUASAR"
MUSICAL TERMS,1,"ALLEGRO, FUGUE, CADENCE, FORTISSIMO"
ENTOMOLOGY (STUDY OF INSECTS),2,"BEETLE, MANTIS, FIREFLY, DRAGONFLY"
ARCHAIC ENGLISH TERMS,3,"BESMIRCH, GAINSAY, YCLEPT, WIGHT"
DINOSAURS,0,"TYRANNOSAURUS, VELOCIRAPTOR, STEGOSAURUS, TRICERATOPS"
MATHEMATICAL THEOREMS,1,"PYTHAGOREAN, FERMAT, GAUSS, RIEMANN"
CRYPTOCURRENCY TERMS,2,"BLOCKCHAIN, ETHER, LITECOIN, RIPPLE"
RARE GEMS,3,"TANZANITE, GRANDIDIERITE, ALEXANDRITE, PAINITE"
FAMOUS COMPOSERS,0,"BEETHOVEN, MOZART, BACH, VIVALDI"
MEDIEVAL WEAPONS,1,"HALBERD, TREBUCHET, LONGSWORD, CROSSBOW"
ARCHAEOLOGICAL SITES,2,"STONEHENGE, MACHUPICCHU, PYRAMIDS, PETRA"
QUANTUM PHYSICS TERMS,3,"ENTANGLEMENT, SUPERPOSITION, QUARK, BOSON"
ANCIENT CIVILIZATIONS,0,"SUMERIANS, EGYPTIANS, MAYANS, ROMANS"
LINGUISTIC TERMS,1,"MORPHEME, SYNTAX, SEMIOTICS, PHONEME"
RARE DISEASES,2,"FIBRODYSPLASIA, PANTOTHENATE, OCHRONOSIS, HYPER IgM"
CELESTIAL OBJECTS,3,"COMET, PULSAR, NEBULA, QUASAR"
OBSCURE GREEK GODS,0,"AETHER, EREBUS, HYPERION, THEMIS"
TYPES OF WINE,1,"MALBEC, RIESLING, SYRAH, ZINFANDEL"
COMPUTER PROGRAMMING LANGUAGES,2,"FORTRAN, LISP, RUBY, SWIFT"
FAMOUS SCIENTISTS,3,"CURIE, EINSTEIN, HAWKING, TESLA"
HITCHCOCK MOVIES,0,"PSYCHO, ROPE, VERTIGO, REBECCA"
MUSIC SCALES,1,"PENTATONIC, CHROMATIC, MAJOR, MINOR"
TOOL BRANDS,2,"BOSCH, DEWALT, MAKITA, RYOBI"
THE FOUR HORSEMEN OF THE APOCALYPSE,3,"CONQUEST, DEATH, FAMINE, WAR"
UNCOMMON GEOLOGICAL TERMS,0,"BATHOLITH, CRETACEOUS, PENEPLAIN, TALUS"
ANCIENT CIVILIZATIONS,1,"ASSYRIA, BABYLON, CARTHAGE, SUMER"
LESSER KNOWN SHAKESPEARE PLAYS,2,"CORIOLANUS, CYMBELINE, PERICLES, TITUS"
RENOWNED CLASSICAL COMPOSERS,3,"BEETHOVEN, HAYDN, MOZART, VERDI"
UNUSUAL PANTONE COLORS,0,"FLAME, MARSALA, SERENITY, TANGERINE"
RARE CHEMICAL ELEMENTS,1,"BERKELIUM, HAFNIUM, RHENIUM, THULIUM"
TYPES OF CLOUDS,2,"CUMULUS, NIMBUS, STRATUS, CIRROCUMULUS"
LATIN DANCE STYLES,3,"BACHATA, MERENGUE, RUMBA, SALSA"
FOSSIL FUEL PRODUCTS,0,"COAL, GASOLINE, KEROSENE, NATURAL GAS"
SHAPES IN GEOMETRY,1,"HEXAGON, PARALLELOGRAM, RHOMBUS, TRIANGLE"
ANCIENT PHILOSOPHERS,2,"ARISTOTLE, CONFUCIUS, PLATO, SOCRATES"
INFAMOUS DICTATORS,3,"FRANCO, HITLER, STALIN, MUSSOLINI"
TYPES OF BRIDGES,0,"ARCH, BEAM, CANTILEVER, SUSPENSION"
NOBEL PRIZE CATEGORIES,1,"CHEMISTRY, LITERATURE, PEACE, PHYSICS"
FAMOUS LITERARY DETECTIVES,2,"HOLMES, MARLOWE, POIROT, SAM SPADE"
OBSOLETE SCIENTIFIC THEORIES,3,"ETHER, FLAT EARTH, PHLOGISTON, SPONTANEOUS GENERATION"
LESSER-KNOWN VITAMINS,0,"BIOTIN, FOLATE, NIACIN, RIBOFLAVIN"
NORDIC COUNTRIES,1,"DENMARK, FINLAND, ICELAND, SWEDEN"
CLASSIC BOARD GAMES,2,"CHESS, RISK, SORRY, TWISTER"
UNUSUAL SPORTS,3,"BOCCIA, JAI-ALAI, KABADDI, SEPAK"
RARE EARTH ELEMENTS,0,"CERIUM, ERBIUM, NEODYMIUM, THULIUM"
GLOBE THEATRE PLAYS,1,"HAMLET, MACBETH, OTHELLO, TEMPEST"
COMMON MAMMALS,2,"DOLPHIN, ELEPHANT, KANGAROO, RACCOON"
UNUSUAL PHOBIAS,3,"ARACHNOPHOBIA, CLAUSTROPHOBIA, GERASCOPHOBIA, TRICHOPHOBIA"
FAMOUS SCULPTORS,0,"BRODZKY, DAVID, RODIN, MICHELANGELO"
FOOD PREPARATION METHODS,1,"BAKE, GRILL, SAUTE, STEAM"
ARCHITECTURAL STYLES,2,"GOTHIC, MODERN, NEOCLASSICAL, ROMANESQUE"
TYPES OF BIRDS,3,"EAGLE, HERON, KIWI, SPARROW"
TYPES OF WINDS,0,"BREEZE, GUST, MONSOON, ZEPHYR"
MAJOR WORLD RIVERS,1,"AMAZON, GANGES, NILE, VOLGA"
SIGNIFICANT ARCHAEOLOGICAL SITES,2,"POMPEII, PYRAMIDS, STONEHENGE, TROY"
GEMS AND PRECIOUS STONES,3,"DIAMOND, EMERALD, RUBY, SAPPHIRE"
COMMON FRUITS,0,"APPLE, BANANA, ORANGE, PEAR"
FAMOUS PAINTERS,1,"MONET, PICASSO, REMBRANDT, VANGOGH"
SYNONYMS FOR BEAUTIFUL,2,"ALLURING, EXQUISITE, GORGEOUS, RADIANT"
GREEK PHILOSOPHERS,3,"ARISTOTLE, HERACLITUS, PLATO, SOPHOCLES"
BASIC COLORS,0,"BLUE, GREEN, RED, YELLOW"
TYPES OF MUSICAL INSTRUMENTS,1,"CELLO, FLUTE, HARP, VIOLIN"
ELEMENTS OF THE PERIODIC TABLE,2,"HELIUM, MERCURY, OXYGEN, XENON"
LATIN PHRASES,3,"CARPEDIEM, QUOVADIS, VENIVIDIVICI, INCOGNITO"
WET WEATHER,0,"HAIL, RAIN, SLEET, SNOW"
FOOTWEAR,0,"BOOT, LOAFER, PUMP, SNEAKER"
NBA TEAMS,1,"BUCKS, HEAT, JAZZ, NETS"
UNITS OF LENGTH,1,"FOOT, LEAGUE, MILE, YARD"
KEYBOARD KEYS,2,"OPTION, RETURN, SHIFT, TAB"
MAGAZINES,2,"ESSENCE, PEOPLE, TIME, US"
PALINDROMES,3,"KAYAK, LEVEL, MOM, RACE CAR"
LETTER HOMOPHONES,3,"ARE, QUEUE, SEA, WHY"
COOKING TERMS,0,"BAKE, ROAST, GRILL, STEAM"
WATER ACTIVITIES,1,"SWIM, DIVE, SURF, KAYAK"
SYNONYMS FOR HOT,2,"BLAZING, SCORCHING, SEARING, TORRID"
SAILING TERMS,3,"KEEL, MAST, RIG, JIB"
ZOO ANIMALS,0,"GIRAFFE, ELEPHANT, ZEBRA, BEAR"
CAR BRANDS,1,"FORD, SUBARU, FIAT, JAGUAR"
BIG FIVE GAME ANIMALS,2,"LEOPARD, RHINO, BUFFALO, LION"
TECH COMPANIES,3,"APPLE, GOOGLE, MICROSOFT, INTEL"
COLORS,0,"RED, BLUE, GREEN, BLACK"
UNITS OF TIME,1,"SECOND, MINUTE, HOUR, DAY"
