groupName,level,members
WET WEATHER,0,"HAIL, RAIN, SLEET, SNOW"
NBA TEAMS,1,"BUCKS, HEAT, JAZZ, NETS"
KEYBOARD KEYS,2,"OPTION, RETURN, SHIFT, TAB"
PALINDROMES,3,"KAYAK, LEVEL, MOM, RACE CAR"
FOOTWEAR,0,"BOOT, LOAFER, PUMP, SNEAKER"
UNITS OF LENGTH,1,"FOOT, LEAGUE, MILE, YARD"
MAGAZINES,2,"ESSENCE, PEOPLE, TIME, US"
LETTER HOMOPHONES,3,"ARE, QUEUE, SEA, WHY"
FACIAL FEATURES,0,"CHEEK, EYE, MOUTH, NOSE"
SYNONYMS FOR EAT,1,"CHOW, GOBBLE, SCARF, WOLF"
"DOG BREEDS, INFORMALLY",2,"LAB, PEKE, PIT, POM"
MEMBERS OF A TRIO,3,"AMIGO, KING, STOOGE, TENOR"
SNEAKER BRANDS,0,"ADIDAS, NIKE, PUMA, REEBOK"
"MUSICALS BEGINNING WITH ""C""",1,"CABARET, CAROUSEL, CATS, CHICAGO"
CLEANING VERBS,2,"DUST, MOP, SWEEP, VACUUM"
___ MAN SUPERHEROES,3,"BAT, IRON, SPIDER, SUPER"
STREAMING SERVICES,0,"HULU, NETFLIX, PEACOCK, PRIME"
CONDIMENTS,1,"KETCHUP, MAYO, RELISH, TARTAR"
SYNONYMS FOR SAD,2,"BLUE, DOWN, GLUM, LOW"
CLUE CHARACTERS,3,"GREEN, MUSTARD, PLUM, SCARLET"
MONOPOLY SQUARES,0,"BOARDWALK, CHANCE, GO, JAIL"
SHADES OF BLUE,1,"BABY, MIDNIGHT, POWDER, ROYAL"
RAPPERS,2,"COMMON, FUTURE, ICE CUBE, Q-TIP"
MEMBERS OF A SEPTET,3,"SEA, SIN, SISTER, WONDER"
LEG PARTS,0,"ANKLE, KNEE, SHIN, THIGH"
BABY ANIMALS,1,"CALF, CUB, JOEY, KID"
SLANG FOR TOILET,2,"CAN, HEAD, JOHN, THRONE"
___ FISH THAT AREN'T FISH,3,"CRAY, JELLY, SILVER, STAR"
BOARD GAMES,0,"BACKGAMMON, CHECKERS, CHESS, GO"
MATTRESS SIZES,1,"FULL, KING, QUEEN, TWIN"
THINGS THAT ARE RED,2,"CHERRY, FIRE TRUCK, RUBY, STOP SIGN"
THINGS WITH KEYS,3,"CRYPTOGRAPHY, FLORIDA, LOCKSMITH, PIANO"
SPORTS,0,"CRICKET, FENCING, POLO, SQUASH"
TOPS,1,"CAMI, HALTER, TANK, TEE"
VEGETABLES,2,"BEET, CARROT, CORN, ONION"
INSECTS,3,"ANT, BEETLE, MANTIS, TERMITE"
FRUIT,0,"DATE, KIWI, LEMON, ORANGE"
COUNTRIES,1,"CHAD, GEORGIA, JORDAN, TOGO"
BIRDS,2,"CRANE, JAY, SWALLOW, TURKEY"
ZODIAC SYMBOLS,3,"FISH, GOAT, SCALES, TWINS"
"SPICES BEGINNING WITH ""C""",0,"CARDAMOM, CLOVE, CORIANDER, CUMIN"
TERMS OF ENDEARMENT,1,"BOO, HONEY, SUGAR, SWEETIE"
THINGS WITH WINGS,2,"AIRPLANE, ANGEL, BIRD, PEGASUS"
SPICE GIRLS,3,"BABY, GINGER, POSH, SCARY"
ANIMAL GROUP NAMES,0,"FLOCK, PACK, POD, SCHOOL"
DEADLY SINS,1,"ENVY, GREED, LUST, PRIDE"
SLOW ANIMALS,2,"LORIS, SLOTH, SNAIL, TORTOISE"
TRIG FUNCTIONS,3,"COT, SEC, SIN, TAN"
AIRLINES,0,"FRONTIER, SPIRIT, UNITED, VIRGIN"
GREEK LETTERS,1,"BETA, CHI, DELTA, IOTA"
"SILENT ""G""",2,"GNAT, GNAW, GNOCCHI, GNOME"
HOMOPHONES,3,"GNU, KNEW, NEW, NU"
BEDS,0,"BUNK, CANOPY, MURPHY, TRUNDLE"
FAMOUS BROTHERS,1,"JONAS, MARX, WARNER, WRIGHT"
HONDAS,2,"ACCORD, CIVIC, PASSPORT, PILOT"
VIDEO GAME CHARACTERS,3,"CRASH, LINK, MARIO, SONIC"
BIRD SOUNDS,0,"CAW, CHIRP, CLUCK, TWEET"
COLORS,1,"BROWN, PINK, TURQUOISE, VIOLET"
FISHING GEAR,2,"LURE, REEL, ROD, TACKLE"
FICTIONAL PIRATES,3,"HOOK, JONES, SILVER, SPARROW"
COFFEE DRINKS,0,"AMERICANO, CAPPUCCINO, ESPRESSO, LATTE"
TREE NUTS,1,"ALMOND, CASHEW, PECAN, WALNUT"
SHADES OF GREEN,2,"EMERALD, FOREST, KELLY, OLIVE"
MR. ___,3,"BEAN, CLEAN, FOX, PEANUT"
NECKWEAR,0,"ASCOT, BOLO, SCARF, TIE"
SHIP DIRECTIONS,1,"BOW, PORT, STARBOARD, STERN"
DETERGENTS,2,"ALL, ERA, GAIN, TIDE"
___ TRIANGLE,3,"ACUTE, BERMUDA, LOVE, RIGHT"
"MUSCLES, INFORMALLY",0,"LAT, PEC, QUAD, TRI"
AWARDS,1,"CUP, MEDAL, RIBBON, TROPHY"
TITLE TV DOCTORS,2,"GREY, HOUSE, HOWSER, QUINN"
